Name,Address,Location,Cuisine,Longitude,Latitude,PhoneNumber,Url,Award,MinPrice_USD,MaxPrice_USD
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",Wolfsburg,"Creative, Modern Cuisine",10.789999,52.4331722,4.95362E+11,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,3 MICHELIN Stars,252.00000000000003,252.00000000000003
The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,Creative,10.0029797,53.5426229,4.94023E+11,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,3 MICHELIN Stars,257.6,257.6
Restaurant Überfahrt Christian Jürgens,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",Rottach-Egern,Creative,11.7582292,47.6966846,4980226690,https://guide.michelin.com/en/bayern/rottach-egern/restaurant/restaurant-uberfahrt-christian-jurgens,3 MICHELIN Stars,290.08000000000004,357.28000000000003
Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany",Perl,Creative,6.3872109,49.5351732,49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,3 MICHELIN Stars,229.60000000000002,330.40000000000003
Rutz,"Chausseestraße 8, Berlin, 10115, Germany",Berlin,"Modern Cuisine, Creative",13.3860867,52.5283507,4.93025E+11,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,3 MICHELIN Stars,221.76000000000002,274.40000000000003
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,Classic French,8.3269876,48.5205845,497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,3 MICHELIN Stars,168.00000000000003,375.20000000000005
temporaire - Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany",Baiersbronn,"Classic French, Creative",8.3590633,48.5361528,4974424920,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/temporaire-schwarzwaldstube,3 MICHELIN Stars,240.8,296.8
schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany",Piesport,"Modern French, Creative",6.9266002,49.8776003,49650792520,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,3 MICHELIN Stars,128.8,199.36
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,Classic French,6.8109342,49.9377323,49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,3 MICHELIN Stars,252.00000000000003,278.88000000000005
L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,Creative,-2.9538566,54.2017254,4.4154E+11,https://guide.michelin.com/en/cumbria/cartmel/restaurant/l-enclume,3 MICHELIN Stars,105.07000000000001,232.75
